Energy (keV),Cross Section (B),E err low (keV),E err high (keV),xsec err low (B),xsec err high (B)
4.206442214286831671e+01,1.520374074220311456e-01,3.714342478049511564e-01,3.764201080336279093e-01,1.455851586965375803e-02,2.472200510175828064e-02
4.132645183933236410e+01,1.807180636042484134e-01,3.617236129873636075e-01,3.665360557309977341e-01,1.492857821365327527e-02,2.108714229528134421e-02
4.060773317430444251e+01,1.734700084248411434e-01,3.523485522696209737e-01,3.569950520405618666e-01,1.599240254521327662e-02,2.014949920786051826e-02
3.990760227998379861e+01,1.712998775868862511e-01,3.432946937547094457e-01,3.477823420510248731e-01,1.556965190322697271e-02,2.288463159509646766e-02
3.922542366039994022e+01,1.829890882972084187e-01,3.345483982142322676e-01,3.388839258291482248e-01,1.603140870741210505e-02,2.392847614659534064e-02
3.856058874838485906e+01,1.603003501754890203e-01,3.260967153033634269e-01,3.302865138008492241e-01,1.739452521307443753e-02,2.690642057628898909e-02
3.791251454782184993e+01,1.906829452936451563e-01,3.179273437374722788e-01,3.219774852596456460e-01,1.888642960161237075e-02,2.901199763917670579e-02
3.728064235512418634e+01,2.088079104911172434e-01,3.100285939705572646e-01,3.139448489601854853e-01,2.165957779870109415e-02,3.474472944344590003e-02
3.666443655410578373e+01,2.135416717357829508e-01,3.023893512907961934e-01,3.061772070478473440e-01,2.657479113979197352e-02,4.342946592712409321e-02
3.606338348132487681e+01,1.854983056670861108e-01,2.949990453795544587e-01,2.986637214901129433e-01,3.686311832966434471e-02,4.194106644281673374e-02
3.547699035460305339e+01,2.255361723874553248e-01,2.878476182024460317e-01,2.913940813422668530e-01,4.237937659955348657e-02,5.252819670937459995e-02
3.490478426263487677e+01,2.424767700967003226e-01,2.809254952362825741e-01,2.843584737657293138e-01,3.176633911782056341e-02,4.711275646788753990e-02
3.434631121089238093e+01,2.175027071574393567e-01,2.742235587811519548e-01,2.775475565062152095e-01,2.182230732831907244e-02,3.194759299068163083e-02
3.380113522173955687e+01,2.415662957478931505e-01,2.677331233573713720e-01,2.709524303716752680e-01,1.650056854584835975e-02,2.223108041651687336e-02
3.326883748208486935e+01,2.340485681879110880e-01,2.614459106855574477e-01,2.645646162973134818e-01,1.581340627702940496e-02,2.635075962090572751e-02
3.274901553919718111e+01,2.381835770502933602e-01,2.553540284195914833e-01,2.583760322021298461e-01,1.441266338624646627e-02,1.848455390791087574e-02
3.224128254009816885e+01,2.495679266028230925e-01,2.494499497136493937e-01,2.523789706794232202e-01,1.278886086514008195e-02,2.479055980542970578e-02
3.174526651098674535e+01,2.529051813090755774e-01,2.437264925807503535e-01,2.465660793977731413e-01,1.266616394904190000e-02,2.027078612430424642e-02
3.126060967586141714e+01,2.440016340359237590e-01,2.381768019617011289e-01,2.409303425445759872e-01,1.297044711347849870e-02,1.889945884155748435e-02
3.078696781142165051e+01,2.702863245670945602e-01,2.327943334621268012e-01,2.354650624780660895e-01,1.330531080500881730e-02,1.998368492213392980e-02
3.032400963512071712e+01,2.722322298203607160e-01,2.275728354215207083e-01,2.301638428388068924e-01,1.295239441651036688e-02,1.833150443646556702e-02
2.987141622637001603e+01,2.646267120152294150e-01,2.225063347351933785e-01,2.250205733291804899e-01,1.306598268947713193e-02,2.038275242918684282e-02
2.942888047693337228e+01,2.686229291138465536e-01,2.175891230933339193e-01,2.200294147014501545e-01,1.332573461918779879e-02,2.087678187823722650e-02
2.899610656884332727e+01,2.675872753966533346e-01,2.128157413434637324e-01,2.151847849967125637e-01,1.256802272936151377e-02,2.433742613503459690e-02
2.857280948129892195e+01,2.941591943818347987e-01,2.081809690654990719e-01,2.104813462009406111e-01,1.313091307123080698e-02,2.195597226538511387e-02
2.815871452028995137e+01,2.925510225212954452e-01,2.036798112277101724e-01,2.059139919434710420e-01,1.345147510758235541e-02,2.409482478474077663e-02
2.775355687344971400e+01,2.791857637948692017e-01,1.993074873447585604e-01,2.014778356125279946e-01,1.393562162700831900e-02,2.118417104412823743e-02
2.735708118575774961e+01,2.942104062326046376e-01,1.950594208441907562e-01,1.971682003472051414e-01,1.395513050126920111e-02,2.244757408665597198e-02
2.696904115776055377e+01,2.844546030315682206e-01,1.909312286414460713e-01,1.929806071530038025e-01,1.475295700064575832e-02,2.569051307397731895e-02
2.658919916276580864e+01,2.974957913378479257e-01,1.869187117573601342e-01,1.889107663532995640e-01,1.463486293721887044e-02,2.389567316051362939e-02
2.621732588280156762e+01,3.049004804269104252e-01,1.830178471866602263e-01,1.849545682068819696e-01,1.478105206809651045e-02,2.151561209609988493e-02
2.585319996250645858e+01,3.053499814707422155e-01,1.792247778900127875e-01,1.811080731084475648e-01,1.420697875623883229e-02,2.065806462669924140e-02
2.549660767969985642e+01,3.174341160196673672e-01,1.755358061219485510e-01,1.773675049165903961e-01,1.419616361042775297e-02,2.232170971325240366e-02
2.514734263117257740e+01,3.199218600778850896e-01,1.719473846739674738e-01,1.737292424053303030e-01,1.393335711953177201e-02,2.118899519024097788e-02
2.480520543494901631e+01,3.317014414071275952e-01,1.684561110364411474e-01,1.701898115495932839e-01,1.514922581740909928e-02,2.305486285299612401e-02
2.447000344464234090e+01,3.343043214315201128e-01,1.650587201011985694e-01,1.667458792702345705e-01,1.467313544020933287e-02,2.325344415657953565e-02
2.414155047882160687e+01,3.176850342611879374e-01,1.617520768639769679e-01,1.633942457195371456e-01,1.424897164087648646e-02,2.228045015365861387e-02
2.381966656184641806e+01,3.273334564647748524e-01,1.585331712119477654e-01,1.601318401112112044e-01,1.509700410351488831e-02,2.784241160427811460e-02
2.350417767825408077e+01,3.123278226352170783e-01,1.553991127112276383e-01,1.569557123803897447e-01,1.606207113866380334e-02,3.517792462764078587e-02
2.319491553673769246e+01,3.150633976196078323e-01,1.523471241433580758e-01,1.538630288051608674e-01,1.546495134167427156e-02,2.327073656007701968e-02
2.289171734496630961e+01,3.311427729524351049e-01,1.493745360843240499e-01,1.508510676280238882e-01,1.546499649511541563e-02,2.336829989574018898e-02
2.259442559712354637e+01,3.299914440466221177e-01,1.464787833600494082e-01,1.479172117584384993e-01,1.456446301351545930e-02,2.220588521569559839e-02
2.230288786790968203e+01,3.461655336152754114e-01,1.436573994169084434e-01,1.450589458538161236e-01,1.474888295366758202e-02,2.338159210237756094e-02
2.201695661759428546e+01,3.411293520910733124e-01,1.409080119432219447e-01,1.422738508984875694e-01,1.528266261207606586e-02,2.035789077702190517e-02
2.173648900520031191e+01,3.440520381643651371e-01,1.382283391162527630e-01,1.395596004507533572e-01,1.555814544446830830e-02,2.728725292830020202e-02
2.146134671002819516e+01,3.352670037772432221e-01,1.356161848067313214e-01,1.369139560558614854e-01,1.634188008484105392e-02,2.385193370020875087e-02
2.119139576131146185e+01,3.396790328092247346e-01,1.330694362853282742e-01,1.343347639100029578e-01,1.589615734012399598e-02,2.918133085725772499e-02
2.092650637475279751e+01,3.379319019835635429e-01,1.305860590101765306e-01,1.318199502733368722e-01,1.534470786694439558e-02,2.761114458415484668e-02
2.066655279656615107e+01,3.514141083371661867e-01,1.281640937078591391e-01,1.293675191764705190e-01,1.630708503002958193e-02,3.138931365934544832e-02
2.041141315460781414e+01,3.525032888129197572e-01,1.258016538714328003e-01,1.269755482504769939e-01,1.579117668804407362e-02,2.366874711777871079e-02
2.016096931513700241e+01,3.498938433738589260e-01,1.234969222159161273e-01,1.246421855993794514e-01,1.547604265789446695e-02,2.676053958900524721e-02
