#E,eV        Sig,b        Interpolation
 5859.69     5.25634      Lin-Lin
 5860.31     5.37525      Lin-Lin
 5861.48     5.59739      Lin-Lin
 5861.5      5.60151      Lin-Lin
 5862.65     5.8439       Lin-Lin
 5862.87     5.88977      Lin-Lin
 5863.82     6.11094      Lin-Lin
 5864.23     6.20673      Lin-Lin
 5864.99     6.40066      Lin-Lin
 5865.59     6.55628      Lin-Lin
 5866.22     6.73394      Lin-Lin
 5866.95     6.94294      Lin-Lin
 5867.52     7.11863      Lin-Lin
 5868.17     7.32207      Lin-Lin
 5868.81     7.54511      Lin-Lin
 5869.38     7.73912      Lin-Lin
 5870.11     8.01803      Lin-Lin
 5870.59     8.19913      Lin-Lin
 5871.19     8.45327      Lin-Lin
 5871.8      8.70832      Lin-Lin
 5872.49     9.03195      Lin-Lin
 5873.1      9.31606      Lin-Lin
 5873.36     9.45223      Lin-Lin
 5874.22     9.90735      Lin-Lin
 5874.4      9.99864      Lin-Lin
 5875.09     10.4005      Lin-Lin
 5875.26     10.5012      Lin-Lin
 5875.95     10.9373      Lin-Lin
 5876.13     11.0467      Lin-Lin
 5876.82     11.521       Lin-Lin
 5876.99     11.6399      Lin-Lin
 5877.68     12.1567      Lin-Lin
 5877.86     12.2864      Lin-Lin
 5878.55     12.8508      Lin-Lin
 5878.72     12.9924      Lin-Lin
 5879.41     13.6101      Lin-Lin
 5879.59     13.765       Lin-Lin
 5880.28     14.4427      Lin-Lin
 5880.45     14.6126      Lin-Lin
 5881.14     15.3576      Lin-Lin
 5881.32     15.5445      Lin-Lin
 5882.01     16.3655      Lin-Lin
 5882.18     16.5714      Lin-Lin
 5882.87     17.4782      Lin-Lin
 5883.05     17.7057      Lin-Lin
 5883.74     18.7096      Lin-Lin
 5883.91     18.9615      Lin-Lin
 5884.6      20.0754      Lin-Lin
 5884.78     20.3548      Lin-Lin
 5885.25     21.2059      Lin-Lin
 5885.64     21.9042      Lin-Lin
 5885.9      22.414       Lin-Lin
 5886.29     23.181       Lin-Lin
 5886.55     23.7343      Lin-Lin
 5886.94     24.5667      Lin-Lin
 5887.2      25.1678      Lin-Lin
 5887.59     26.072       Lin-Lin
 5887.85     26.7253      Lin-Lin
 5888.24     27.7081      Lin-Lin
 5888.5      28.4183      Lin-Lin
 5888.89     29.4868      Lin-Lin
 5889.15     30.259       Lin-Lin
 5889.54     31.4207      Lin-Lin
 5889.8      32.2599      Lin-Lin
 5890.19     33.5225      Lin-Lin
 5890.44     34.4339      Lin-Lin
 5890.83     35.8049      Lin-Lin
 5891.09     36.7933      Lin-Lin
 5891.48     38.28        Lin-Lin
 5891.74     39.3498      Lin-Lin
 5892.13     40.9588      Lin-Lin
 5892.39     42.1136      Lin-Lin
 5892.78     43.8502      Lin-Lin
 5893.04     45.0923      Lin-Lin
 5893.43     46.9601      Lin-Lin
 5893.69     48.3042      Lin-Lin
 5894.29     51.4489      Lin-Lin
 5894.55     52.9062      Lin-Lin
 5895.16     56.3155      Lin-Lin
 5895.42     57.8757      Lin-Lin
 5896.02     61.5242      Lin-Lin
 5896.28     63.1821      Lin-Lin
 5897.32     69.8258      Lin-Lin
 5897.58     71.5191      Lin-Lin
 5899.42     83.5172      Lin-Lin
 5899.49     83.9395      Lin-Lin
 5900.39     89.3895      Lin-Lin
 5900.52     90.165       Lin-Lin
 5901.26     94.069       Lin-Lin
 5901.3      94.2975      Lin-Lin
 5901.91     97.0494      Lin-Lin
 5902        97.4401      Lin-Lin
 5902.56     99.5223      Lin-Lin
 5902.64     99.8398      Lin-Lin
 5903.21     101.4        Lin-Lin
 5903.29     101.637      Lin-Lin
 5903.85     102.635      Lin-Lin
 5903.92     102.755      Lin-Lin
 5904.5      103.152      Lin-Lin
 5904.62     103.226      Lin-Lin
 5904.66     103.229      Lin-Lin
 5904.68     103.229      Lin-Lin
 5905.27     102.872      Lin-Lin
 5905.39     102.797      Lin-Lin
 5905.89     101.918      Lin-Lin
 5906.1      101.527      Lin-Lin
 5906.58     100.241      Lin-Lin
 5906.6      100.166      Lin-Lin
 5907.21     98.0412      Lin-Lin
 5907.32     97.577       Lin-Lin
 5907.83     95.3324      Lin-Lin
 5908.03     94.3597      Lin-Lin
 5908.46     92.1871      Lin-Lin
 5908.74     90.5896      Lin-Lin
 5909.4      86.8254      Lin-Lin
 5909.81     84.2384      Lin-Lin
 5910.66     78.9121      Lin-Lin
 5911.6      72.7913      Lin-Lin
 5912.9      64.3491      Lin-Lin
 5913.93     57.984       Lin-Lin
 5914.71     53.5098      Lin-Lin
 5915.49     49.331       Lin-Lin
 5916.27     45.4635      Lin-Lin
 5917.05     41.9099      Lin-Lin
 5917.83     38.6626      Lin-Lin
 5918.61     35.7074      Lin-Lin
 5919.39     33.0254      Lin-Lin
 5919.9      31.409       Lin-Lin
 5920.21     30.4684      Lin-Lin
 5920.51     29.6074      Lin-Lin
 5920.81     28.7487      Lin-Lin
 5921.12     27.9521      Lin-Lin
 5921.42     27.1576      Lin-Lin
 5921.72     26.4205      Lin-Lin
 5922.02     25.6853      Lin-Lin
 5922.33     25.0029      Lin-Lin
 5922.63     24.3222      Lin-Lin
 5922.93     23.6901      Lin-Lin
 5923.24     23.0597      Lin-Lin
 5923.54     22.4842      Lin-Lin
 5924.14     21.3361      Lin-Lin
 5924.75     20.2901      Lin-Lin
 5925.44     19.1906      Lin-Lin
 5925.53     19.0536      Lin-Lin
 5926.13     18.1765      Lin-Lin
 5926.31     17.9267      Lin-Lin
 5926.83     17.2401      Lin-Lin
 5927.09     16.8978      Lin-Lin
 5927.52     16.3744      Lin-Lin
 5927.86     15.9568      Lin-Lin
 5928.21     15.573       Lin-Lin
 5928.64     15.0945      Lin-Lin
 5928.9      14.8301      Lin-Lin
 5929.42     14.3031      Lin-Lin
 5929.94     13.817       Lin-Lin
 5930.2      13.5747      Lin-Lin
 5930.72     13.127       Lin-Lin
 5930.98     12.9038      Lin-Lin
 5931.58     12.4237      Lin-Lin
 5931.84     12.2186      Lin-Lin
 5932.45     11.7785      Lin-Lin
 5932.71     11.5904      Lin-Lin
 5933.31     11.186       Lin-Lin
 5933.57     11.0131      Lin-Lin
 5934.18     10.6479      Lin-Lin
 5934.87     10.2317      Lin-Lin
 5935.04     10.139       Lin-Lin
 5935.91     9.67674      Lin-Lin
 5936.17     9.53852      Lin-Lin
 5937.21     9.04406      Lin-Lin
 5937.47     8.92086      Lin-Lin
 5938.22     8.59573      Lin-Lin
 5938.57     8.44869      Lin-Lin
 5939.24     8.18728      Lin-Lin
 5939.9      7.93081      Lin-Lin
 5940.26     7.80722      Lin-Lin
 5941.24     7.46574      Lin-Lin
 5941.27     7.45468      Lin-Lin
 5942.29     7.13565      Lin-Lin
 5942.58     7.04685      Lin-Lin
 5943.82     6.69465      Lin-Lin
 5943.91     6.66789      Lin-Lin
 5945.25     6.32428      Lin-Lin
 5945.34     6.30207      Lin-Lin
 5946.58     6.0118       Lin-Lin
 5946.75     5.97651      Lin-Lin
 5947.92     5.72686      Lin-Lin
 5948.15     5.68123      Lin-Lin
 5949.52     5.41726      Lin-Lin
 5949.56     5.41023      Lin-Lin
 5950.96     5.16702      Lin-Lin
 5951.38     5.09474      Lin-Lin
 5952.37     4.94258      Lin-Lin
 5953.25     4.8075       Lin-Lin
 5953.78     4.73472      Lin-Lin
 5955.11     4.55052      Lin-Lin
 5955.18     4.54214      Lin-Lin
 5956.59     4.36824      Lin-Lin
 5956.98     4.31988      Lin-Lin
 5958.1      4.19473      Lin-Lin
 5958.85     4.11203      Lin-Lin
 5959.62     4.03428      Lin-Lin
 5960.71     3.92411      Lin-Lin
 5961.13     3.88573      Lin-Lin
 5962.58     3.75365      Lin-Lin
 5962.64     3.74804      Lin-Lin
 5964.59     3.58691      Lin-Lin
 5964.92     3.56257      Lin-Lin
 5966.75     3.42525      Lin-Lin
 5967.19     3.39597      Lin-Lin
 5968.7      3.29386      Lin-Lin
 5968.92     3.27931      Lin-Lin
 5970.65     3.17594      Lin-Lin
 5972.16     3.08576      Lin-Lin
 5972.59     3.06329      Lin-Lin
 5974.54     2.96248      Lin-Lin
 5975.41     2.9178       Lin-Lin
 5976.49     2.8688       Lin-Lin
 5978.43     2.78085      Lin-Lin
 5978.65     2.77111      Lin-Lin
 5981.35     2.66367      Lin-Lin
 5981.9      2.64227      Lin-Lin
 5984.27     2.55873      Lin-Lin
 5985.14     2.52846      Lin-Lin
 5986.87     2.47451      Lin-Lin
 5988.38     2.42745      Lin-Lin
 5989.47     2.39736      Lin-Lin
 5991.63     2.33738      Lin-Lin
 5992.06     2.32678      Lin-Lin
 5994.66     2.26341      Lin-Lin
 5995.95     2.23182      Lin-Lin
 5997.25     2.20403      Lin-Lin
 5999.71     2.15149      Lin-Lin
 5999.85     2.14895      Lin-Lin
 6002.44     2.10022      Lin-Lin
 6004.5      2.06174      Lin-Lin
 6005.04     2.0529       Lin-Lin
 6008.18     2.00177      Lin-Lin
 6009.28     1.98375      Lin-Lin
 6011.31     1.95484      Lin-Lin
 6014.07     1.91566      Lin-Lin
 6014.45     1.911        Lin-Lin
 6017.58     1.87256      Lin-Lin
 6020.45     1.83754      Lin-Lin
 6020.72     1.83473      Lin-Lin
 6023.86     1.80219      Lin-Lin
 6027.16     1.76808      Lin-Lin
 6028.56     1.75569      Lin-Lin
 6033.37     1.71344      Lin-Lin
 6034.19     1.70635      Lin-Lin
 6038.24     1.67599      Lin-Lin
 6041.21     1.65381      Lin-Lin
 6043.11     1.64204      Lin-Lin
 6047.97     1.61187      Lin-Lin
 6051.76     1.58848      Lin-Lin
 6052.84     1.58299      Lin-Lin
 6057.71     1.55836      Lin-Lin
 6061.49     1.53926      Lin-Lin
 6062.57     1.53469      Lin-Lin
 6067.44     1.51418      Lin-Lin
 6071.23     1.49828      Lin-Lin
 6072.31     1.49452      Lin-Lin
 6075.55     1.48329      Lin-Lin
 6082.04     1.4609       Lin-Lin
 6084.2      1.45346      Lin-Lin
 6088.53     1.44134      Lin-Lin
 6095.02     1.42323      Lin-Lin
 6097.18     1.41721      Lin-Lin
 6101.51     1.40768      Lin-Lin
 6108        1.39344      Lin-Lin
 6115.57     1.37688      Lin-Lin
 6116.65     1.37452      Lin-Lin
 6123.14     1.36318      Lin-Lin
 6129.63     1.35188      Lin-Lin
 6130.71     1.35039      Lin-Lin
 6138.28     1.33998      Lin-Lin
 6144.77     1.33109      Lin-Lin
 6154.5      1.31779      Lin-Lin
 6155.58     1.31631      Lin-Lin
 6164.23     1.30747      Lin-Lin
 6173.97     1.29756      Lin-Lin
 6181.54     1.28987      Lin-Lin
 6183.7      1.28827      Lin-Lin
 6193.43     1.28107      Lin-Lin
 6203.17     1.2739       Lin-Lin
 6212.9      1.26676      Lin-Lin
 6220.47     1.26121      Lin-Lin
 6222.63     1.26007      Lin-Lin
 6229.12     1.25668      Lin-Lin
 6242.1      1.2499       Lin-Lin
 6255.08     1.24315      Lin-Lin
 6259.4      1.2409       Lin-Lin
 6268.06     1.2378       Lin-Lin
 6281.03     1.23317      Lin-Lin
 6294.01     1.22855      Lin-Lin
 6306.99     1.22394      Lin-Lin
 6319.97     1.21934      Lin-Lin
 6324.29     1.21781      Lin-Lin
 6332.95     1.21583      Lin-Lin
 6354.57     1.21088      Lin-Lin
 6371.88     1.20694      Lin-Lin
 6389.18     1.20301      Lin-Lin
 6406.49     1.19909      Lin-Lin
 6423.79     1.19659      Lin-Lin
 6441.09     1.1941       Lin-Lin
 6458.4      1.19161      Lin-Lin
 6475.7      1.18913      Lin-Lin
 6493        1.18666      Lin-Lin
 6518.96     1.18295      Lin-Lin
 6527.61     1.18172      Lin-Lin
 6544.92     1.1802       Lin-Lin
 6570.87     1.17793      Lin-Lin
 6596.83     1.17566      Lin-Lin
 6622.78     1.1734       Lin-Lin
 6666.04     1.16965      Lin-Lin
 6700.65     1.16665      Lin-Lin
 6735.26     1.16365      Lin-Lin
 6769.87     1.16178      Lin-Lin
 6804.47     1.1599       Lin-Lin
 6839.08     1.15804      Lin-Lin
 6873.69     1.15617      Lin-Lin
 6925.6      1.15337      Lin-Lin
 6977.51     1.15058      Lin-Lin
 7029.42     1.1478       Lin-Lin
 7081.33     1.14502      Lin-Lin
 7115.94     1.14316      Lin-Lin
 7150.55     1.14131      Lin-Lin
 7185.16     1.13996      Lin-Lin
 7254.37     1.13727      Lin-Lin
 7314.93     1.13491      Lin-Lin
 7405.78     1.13138      Lin-Lin
 7496.62     1.12785      Lin-Lin
 7600.45     1.12383      Lin-Lin
 7688.91     1.1204       Lin-Lin
 7773.48     1.11712      Lin-Lin
 7929.22     1.11109      Lin-Lin
 8084.95     1.10506      Lin-Lin
 8232.03     1.09937      Lin-Lin
 8290.1      1.0973       Lin-Lin
 8497.33     1.08994      Lin-Lin
 8768.47     1.0803       Lin-Lin
 9082.98     1.06913      Lin-Lin
 9431.49     1.05675      Lin-Lin
 9828.8      1.04264      Lin-Lin
 10226.1     1.02853      Lin-Lin
 10780.3     1.00886      Lin-Lin
 11255       0.992002     Lin-Lin
 12031.4     0.964441     Lin-Lin
 12814       0.936664     Lin-Lin
 13345.3     0.917807     Lin-Lin
 13438.8     0.914289     Lin-Lin
 14060       0.890908     Lin-Lin
 14663.5     0.868194     Lin-Lin
 15288.4     0.844679     Lin-Lin
 15902.5     0.821567     Lin-Lin
 16401.8     0.80278      Lin-Lin
 16516.7     0.798457     Lin-Lin
 17220.8     0.771106     Lin-Lin
 17913.4     0.744204     Lin-Lin
 18578.5     0.718374     Lin-Lin
 19268.2     0.69159      Lin-Lin
 19815.5     0.670339     Lin-Lin
 20353       0.64947      Lin-Lin
 20759.7     0.633687     Lin-Lin
 20906.1     0.628428     Lin-Lin
 21315.6     0.613727     Lin-Lin
 21725.1     0.599028     Lin-Lin
 21979.5     0.589896     Lin-Lin
 22134.5     0.584949     Lin-Lin
 22386.1     0.576923     Lin-Lin
 22792.7     0.563954     Lin-Lin
 23230       0.55217      Lin-Lin
 23484.2     0.545319     Lin-Lin
 23647.7     0.541861     Lin-Lin
 23995.9     0.534496     Lin-Lin
 24137       0.531517     Lin-Lin
 24163.4     0.530962     Lin-Lin
 24191.3     0.530671     Lin-Lin
 24219.2     0.530384     Lin-Lin
 24231.6     0.530898     Lin-Lin
 24244       0.531416     Lin-Lin
 24250.2     0.531679     Lin-Lin
 24253.3     0.532304     Lin-Lin
 24259.5     0.533558     Lin-Lin
 24262.6     0.534189     Lin-Lin
 24264.2     0.534996     Lin-Lin
 24267.3     0.536614     Lin-Lin
 24269.9     0.537984     Lin-Lin
 24271       0.538543     Lin-Lin
 24272       0.539712     Lin-Lin
 24274.2     0.542054     Lin-Lin
 24275.2     0.543228     Lin-Lin
 24275.8     0.544348     Lin-Lin
 24277.4     0.547712     Lin-Lin
 24278.4     0.549961     Lin-Lin
 24279.5     0.553847     Lin-Lin
 24280       0.555795     Lin-Lin
 24280.3     0.557319     Lin-Lin
 24281.1     0.561896     Lin-Lin
 24281.6     0.564954     Lin-Lin
 24281.9     0.567233     Lin-Lin
 24282.4     0.571795     Lin-Lin
 24282.7     0.574078     Lin-Lin
 24283       0.577275     Lin-Lin
 24283.5     0.583674     Lin-Lin
 24283.8     0.586878     Lin-Lin
 24284       0.591183     Lin-Lin
 24284.6     0.599801     Lin-Lin
 24285       0.608142     Lin-Lin
 24285.4     0.616489     Lin-Lin
 24285.8     0.627141     Lin-Lin
 24286.1     0.63651      Lin-Lin
 24286.6     0.65095      Lin-Lin
 24286.8     0.658174     Lin-Lin
 24286.9     0.662574     Lin-Lin
 24287.2     0.675771     Lin-Lin
 24287.4     0.684577     Lin-Lin
 24287.5     0.689905     Lin-Lin
 24287.9     0.705899     Lin-Lin
 24288.1     0.716568     Lin-Lin
 24288.2     0.722793     Lin-Lin
 24288.5     0.741461     Lin-Lin
 24288.8     0.762534     Lin-Lin
 24289       0.769557     Lin-Lin
 24289.2     0.785351     Lin-Lin
 24289.4     0.80115      Lin-Lin
 24289.5     0.810008     Lin-Lin
 24289.8     0.836576     Lin-Lin
 24290.2     0.866251     Lin-Lin
 24290.3     0.87614      Lin-Lin
 24290.5     0.898153     Lin-Lin
 24290.7     0.920169     Lin-Lin
 24290.8     0.932371     Lin-Lin
 24291.1     0.968963     Lin-Lin
 24291.5     1.00939      Lin-Lin
 24291.6     1.02285      Lin-Lin
 24291.8     1.05247      Lin-Lin
 24292       1.08209      Lin-Lin
 24292.4     1.14696      Lin-Lin
 24292.9     1.21766      Lin-Lin
 24293.3     1.29796      Lin-Lin
 24293.8     1.38498      Lin-Lin
 24294.2     1.47879      Lin-Lin
 24294.7     1.57938      Lin-Lin
 24295.2     1.68669      Lin-Lin
 24295.6     1.80203      Lin-Lin
 24295.8     1.85975      Lin-Lin
 24296.3     1.98405      Lin-Lin
 24296.5     2.04622      Lin-Lin
 24297       2.18541      Lin-Lin
 24297.2     2.24304      Lin-Lin
 24297.8     2.42712      Lin-Lin
 24298.2     2.55484      Lin-Lin
 24300.2     3.19367      Lin-Lin
 24300.4     3.24253      Lin-Lin
 24301.1     3.4655       Lin-Lin
 24301.3     3.49514      Lin-Lin
 24301.9     3.66468      Lin-Lin
 24302.1     3.72845      Lin-Lin
 24302.7     3.86734      Lin-Lin
 24302.9     3.90514      Lin-Lin
 24303.5     4.02729      Lin-Lin
 24303.5     4.03768      Lin-Lin
 24304       4.1259       Lin-Lin
